AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Rarely ,Not at all,Slightly ,Often ,Rarely ,Sometimes ,Sometimes,Always ,Sometimes ,Significantly ,facebook,Rarely ,Moderately ,4,4,1,3.0,3
18–24,Female ,More than 3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,others,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,4,2,3,3.0,3
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Rarely ,Moderately ,facebook,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
25–34,Male ,1–3 hours ,Often ,Slightly ,Rarely,Rarely ,Not at all,Slightly ,Rarely ,Rarely ,Rarely ,Rarely,Often ,Rarely ,Moderately ,facebook,Always ,Slightly ,2,2,1,1.6666666666666667,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Always ,Significantly,Significantly ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,instagram,Often ,Significantly ,6,6,7,6.333333333333333,4
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Not at all,Slightly ,Rarely ,Often ,Often ,Rarely,Sometimes ,Sometimes ,Slightly ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Slightly,Significantly ,Always ,Often ,Often ,Always,Often ,Often ,Significantly ,facebook,Often ,Moderately ,6,8,3,5.666666666666667,3
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Moderately,Moderately ,Often ,Often ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Often ,Slightly ,4,4,5,4.333333333333333,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Slightly,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Sometimes ,Moderately ,instagram,Sometimes ,Not at all ,6,4,3,4.333333333333333,1
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Sometimes ,Not at all ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Always ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,8,6,5,6.333333333333333,3
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,linkedin,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
Below 18,Male ,1–3 hours ,Sometimes ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Rarely ,Rarely,Often ,Sometimes ,Slightly ,tiktok,Sometimes ,Not at all ,6,2,5,4.333333333333333,1
18–24,Male ,More than 3 hours ,Always ,Moderately ,Sometimes,Often ,Moderately,Moderately ,Rarely ,Often ,Sometimes ,Sometimes,Always ,Rarely ,Moderately ,instagram,Sometimes ,Significantly ,4,4,5,4.333333333333333,4
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Significantly,Moderately ,Sometimes ,Rarely ,Rarely ,Rarely,Rarely ,Sometimes ,Significantly ,facebook,Rarely ,Moderately ,6,2,7,5.0,3
25–34,Female ,1–3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Often,Rarely ,Sometimes ,Moderately ,others,Always ,Significantly ,4,6,5,5.0,4
18–24,Male ,Less than 1 hour ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Always ,Often,Sometimes ,Often ,Significantly ,twitter,Always ,Significantly ,6,6,5,5.666666666666667,4
25–34,Male ,More than 3 hours ,Often ,Slightly ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Sometimes ,Often,Sometimes ,Often ,Moderately ,facebook,Often ,Slightly ,6,6,5,5.666666666666667,2
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Always,Sometimes ,Not at all,Significantly ,Always ,Sometimes ,Always ,Always,Sometimes ,Often ,Significantly ,facebook,Often ,Moderately ,8,8,1,5.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Rarely ,Rarely ,Moderately ,facebook,Sometimes ,Slightly ,6,6,5,5.666666666666667,2
25–34,Male ,More than 3 hours ,Sometimes ,Moderately ,Always,Sometimes ,Significantly,Significantly ,Often ,Sometimes ,Often ,Always,Always ,Often ,Significantly ,facebook,Often ,Slightly ,8,8,7,7.666666666666667,2
25–34,Female ,1–3 hours ,Always ,Significantly ,Always,Sometimes ,Significantly,Significantly ,Rarely ,Sometimes ,Often ,Always,Sometimes ,Sometimes ,Moderately ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Female ,More than 3 hours ,Often ,Not at all ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Sometimes ,Often ,Not at all ,facebook,Sometimes ,Slightly ,4,2,3,3.0,2
18–24,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,youtube,Always ,Moderately ,8,8,7,7.666666666666667,3
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often,Often ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Sometimes ,Moderately ,tiktok,Sometimes ,Slightly ,6,6,3,5.0,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Sometimes,Always ,Significantly,Moderately ,Often ,Always ,Often ,Always,Often ,Often ,Significantly ,snapchat,Always ,Significantly ,4,8,7,6.333333333333333,4
Below 18,Female ,1–3 hours ,Sometimes ,Significantly ,Often,Always ,Significantly,Significantly ,Always ,Often ,Always ,Always,Always ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,7,7.0,4
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Often ,Sometimes,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,6,4,5,5.0,3
25–34,Male ,More than 3 hours ,Always ,Moderately ,Always,Often ,Moderately,Significantly ,Always ,Often ,Always ,Always,Always ,Often ,Moderately ,youtube,Always ,Significantly ,8,8,5,7.0,4
18–24,Male ,1–3 hours ,Often ,Significantly ,Always,Always ,Moderately,Significantly ,Often ,Always ,Always ,Often,Often ,Always ,Moderately ,twitter,Always ,Moderately ,8,6,5,6.333333333333333,3
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Moderately,Moderately ,Always ,Always ,Sometimes ,Sometimes,Often ,Often ,Moderately ,tiktok,Often ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,youtube,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
25–34,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Always ,Always ,Often ,Often,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Significantly ,6,6,7,6.333333333333333,4
18–24,Male ,Less than 1 hour ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Always ,Often,Sometimes ,Often ,Significantly ,twitter,Always ,Significantly ,6,6,5,5.666666666666667,4
Below 18,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,instagram,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Often ,Sometimes ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Always ,Significantly ,4,4,3,3.6666666666666665,4
18–24,Male ,1–3 hours ,Sometimes ,Not at all ,Sometimes,Sometimes ,Not at all,Slightly ,Rarely ,Sometimes ,Often ,Rarely,Rarely ,Sometimes ,Not at all ,instagram,Often ,Slightly ,4,2,1,2.3333333333333335,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Moderately ,Always ,Rarely ,Often ,Often,Sometimes ,Always ,Significantly ,facebook,Sometimes ,Significantly ,8,6,7,7.0,4
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Sometimes ,Sometimes,Often ,Rarely ,Slightly ,others,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Rarely ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Rarely ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Always ,Moderately,Moderately ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,facebook,Always ,Moderately ,6,8,5,6.333333333333333,3
18–24,Male ,Less than 1 hour ,Rarely ,Slightly ,Often,Always ,Slightly,Moderately ,Always ,Always ,Sometimes ,Often,Sometimes ,Often ,Not at all ,facebook,Always ,Moderately ,6,6,3,5.0,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Rarely ,Often,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Significantly ,4,6,5,5.0,4
18–24,Female ,More than 3 hours ,Rarely ,Slightly ,Rarely,Sometimes ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Often ,Always ,Slightly ,facebook,Always ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,4,2,3,3.0,2
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Sometimes,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Often ,Significantly ,tiktok,Always ,Significantly ,4,8,7,6.333333333333333,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Sometimes ,Often ,Often ,Always,Often ,Always ,Significantly ,facebook,Often ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Sometimes ,Often,Often ,Sometimes ,Moderately ,facebook,Often ,Significantly ,6,6,5,5.666666666666667,4
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes,Always ,Sometimes ,Significantly ,tiktok,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,1–3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Often ,Significantly ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Sometimes ,Rarely,Always ,Sometimes ,Significantly ,facebook,Often ,Slightly ,6,2,5,4.333333333333333,2
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Significantly ,4,8,7,6.333333333333333,4
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Often ,Sometimes ,Often ,Always,Always ,Sometimes ,Significantly ,instagram,Often ,Moderately ,4,8,7,6.333333333333333,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Always ,Significantly,Moderately ,Often ,Often ,Often ,Often,Always ,Often ,Moderately ,instagram,Often ,Moderately ,6,6,7,6.333333333333333,3
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Moderately,Moderately ,Always ,Often ,Often ,Often,Always ,Often ,Moderately ,facebook,Often ,Significantly ,8,6,5,6.333333333333333,4
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Rarely ,Slightly,Moderately ,Sometimes ,Rarely ,Sometimes ,Sometimes,Always ,Sometimes ,Moderately ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Always ,Moderately ,8,6,5,6.333333333333333,3
25–34,Male ,More than 3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Always ,Often,Often ,Always ,Significantly ,linkedin,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Always,Often ,Significantly,Significantly ,Always ,Rarely ,Always ,Rarely,Rarely ,Rarely ,Significantly ,youtube,Often ,Moderately ,8,2,7,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Rarely ,Rarely ,Sometimes,Always ,Rarely ,Significantly ,facebook,Always ,Moderately ,2,4,3,3.0,3
18–24,Female ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Often ,Often,Often ,Often ,Significantly ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,4,5,5.0,4
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often,Often ,Slightly,Slightly ,Sometimes ,Often ,Often ,Often,Often ,Sometimes ,Moderately ,tiktok,Sometimes ,Slightly ,6,6,3,5.0,2
18–24,Female ,1–3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Always ,Significantly,Significantly ,Always ,Always ,Often ,Always,Often ,Often ,Significantly ,snapchat,Often ,Moderately ,6,8,7,7.0,3
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes,Rarely ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,4,2,3,3.0,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Often,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,7,6.333333333333333,3
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Rarely ,Sometimes,Sometimes ,Rarely ,Moderately ,facebook,Often ,Not at all ,2,4,3,3.0,1
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Often,Sometimes ,Sometimes ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Rarely ,Rarely ,Often ,Often,Often ,Often ,Significantly ,facebook,Rarely ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,4,6,3,4.333333333333333,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Rarely ,Not at all,Slightly ,Often ,Rarely ,Sometimes ,Sometimes,Always ,Sometimes ,Significantly ,facebook,Rarely ,Moderately ,4,4,1,3.0,3
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Always ,Moderately,Moderately ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,facebook,Always ,Moderately ,6,8,5,6.333333333333333,3
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,snapchat,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,linkedin,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Female ,More than 3 hours ,Often ,Significantly ,Always,Often ,Significantly,Significantly ,Always ,Often ,Often ,Always,Always ,Often ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Slightly,Moderately ,Always ,Often ,Often ,Often,Often ,Rarely ,Moderately ,facebook,Rarely ,Moderately ,6,6,3,5.0,3
Below 18,Female ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Always ,Often ,Slightly ,tiktok,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Female ,More than 3 hours ,Rarely ,Not at all ,Often,Always ,Moderately,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes,Sometimes ,Always ,Moderately ,instagram,Always ,Significantly ,6,4,5,5.0,4
Below 18,Male ,Less than 1 hour ,Sometimes ,Slightly ,Always,Rarely ,Significantly,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,instagram,Rarely ,Slightly ,8,4,7,6.333333333333333,2
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Sometimes ,Sometimes ,Often,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,4,6,3,4.333333333333333,3
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely,Sometimes ,Slightly,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely,Sometimes ,Rarely ,Moderately ,facebook,Often ,Slightly ,2,2,3,2.3333333333333335,2
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Often ,Sometimes,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,6,4,5,5.0,3
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Not at all ,4,4,3,3.6666666666666665,1
18–24,Male ,Less than 1 hour ,Rarely ,Moderately ,Rarely,Sometimes ,Slightly,Slightly ,Often ,Rarely ,Sometimes ,Rarely,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,4,5,5.0,4
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Always ,Often ,Significantly ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Always,Always ,Moderately,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,tiktok,Rarely ,Moderately ,8,8,5,7.0,3
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Often ,Moderately,Moderately ,Always ,Sometimes ,Often ,Often,Often ,Sometimes ,Moderately ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,1–3 hours ,Always ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Always ,Always,Always ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,5,6.333333333333333,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Not at all,Not at all ,Rarely ,Sometimes ,Sometimes ,Sometimes,Always ,Often ,Significantly ,facebook,Sometimes ,Slightly ,6,4,1,3.6666666666666665,2
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
25–34,Female ,Less than 1 hour ,Rarely ,Slightly ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Often ,Sometimes ,Often,Sometimes ,Often ,Slightly ,instagram,Often ,Slightly ,4,6,5,5.0,2
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Rarely ,Often ,Rarely ,Sometimes,Always ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Sometimes,Often ,Moderately,Moderately ,Often ,Often ,Sometimes ,Often,Often ,Often ,Significantly ,facebook,Sometimes ,Significantly ,4,6,5,5.0,4
Below 18,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,instagram,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Moderately ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often,Often ,Significantly,Significantly ,Sometimes ,Often ,Always ,Often,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,7,6.333333333333333,3
18–24,Female ,1–3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Often ,Significantly ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Rarely ,Often ,Rarely ,Sometimes,Always ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,tiktok,Sometimes ,Slightly ,4,2,3,3.0,2
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Significantly ,Always ,Always ,Always ,Always,Always ,Rarely ,Significantly ,facebook,Rarely ,Significantly ,2,8,1,3.6666666666666665,4
18–24,Male ,Less than 1 hour ,Rarely ,Slightly ,Rarely,Sometimes ,Slightly,Slightly ,Often ,Rarely ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
Below 18,Female ,1–3 hours ,Sometimes ,Significantly ,Often,Always ,Significantly,Significantly ,Always ,Often ,Always ,Always,Always ,Always ,Significantly ,instagram,Always ,Significantly ,6,8,7,7.0,4
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Slightly,Slightly ,Rarely ,Rarely ,Rarely ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,6,4,3,4.333333333333333,2
25–34,Female ,More than 3 hours ,Sometimes ,Significantly ,Always,Often ,Significantly,Moderately ,Often ,Always ,Often ,Sometimes,Always ,Always ,Slightly ,twitter,Always ,Significantly ,8,4,7,6.333333333333333,4
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
